Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
sample_photopic_recoring, Psammomys;F;;2020-11-24;01/01/2009 01:47:22;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;2;photopic single flash 2
Length;512;Dist[s];4.89237E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 photopic 1.0;L-2 photopic 1.0;R-1 photopic 3.0;L-2 photopic 3.0;R-1 photopic 10.0;L-2 photopic 10.0;
128;6.213E-0002;0.000E+0000;0.000E+0000;5.407E-0005;1.575E-0005;2.680E-0005;3.587E-0005;
129;6.262E-0002;0.000E+0000;0.000E+0000;5.132E-0005;1.654E-0005;2.454E-0005;3.446E-0005;
130;6.311E-0002;0.000E+0000;0.000E+0000;4.900E-0005;1.917E-0005;2.161E-0005;3.165E-0005;
131;6.360E-0002;0.000E+0000;0.000E+0000;4.858E-0005;2.332E-0005;1.813E-0005;2.793E-0005;
132;6.409E-0002;0.000E+0000;0.000E+0000;4.931E-0005;2.686E-0005;1.514E-0005;2.390E-0005;
133;6.458E-0002;0.000E+0000;0.000E+0000;5.065E-0005;2.973E-0005;1.251E-0005;2.006E-0005;
134;6.507E-0002;0.000E+0000;0.000E+0000;5.065E-0005;3.058E-0005;1.001E-0005;1.566E-0005;
135;6.556E-0002;0.000E+0000;0.000E+0000;4.967E-0005;2.942E-0005;8.424E-0006;1.182E-0005;
136;6.605E-0002;0.000E+0000;0.000E+0000;4.851E-0005;2.722E-0005;7.386E-0006;8.399E-0006;
137;6.654E-0002;0.000E+0000;0.000E+0000;4.717E-0005;2.436E-0005;6.409E-0006;4.798E-0006;
138;6.703E-0002;0.000E+0000;0.000E+0000;4.607E-0005;2.100E-0005;5.189E-0006;7.088E-0007;
139;6.751E-0002;0.000E+0000;0.000E+0000;4.504E-0005;1.789E-0005;4.700E-0006;-2.282E-0006;
